UNICODIGO,NOMBRE_VACUNA,moda
000733,ASTRAZENECA,2021-01-14T00:00:00.000000
002723,CORONAVAC SINOVAC,2021-01-05T00:00:00.000000
001741,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001195,CORONAVAC SINOVAC,2021-01-07T00:00:00.000000
000786,CORONAVAC SINOVAC,2021-01-18T00:00:00.000000
000395,CORONAVAC SINOVAC,2021-01-01T00:00:00.000000
000397,CORONAVAC SINOVAC,2021-01-04T00:00:00.000000
002051,ASTRAZENECA,2021-01-14T00:00:00.000000
000507,CORONAVAC SINOVAC,2021-01-01T00:00:00.000000
000884,CORONAVAC SINOVAC,2021-01-17T00:00:00.000000
001763,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000680,BNT162B2 PFIZER,2021-01-30T00:00:00.000000
002864,ASTRAZENECA,2021-01-15T00:00:00.000000
002977,ASTRAZENECA,2021-01-14T00:00:00.000000
000808,CORONAVAC SINOVAC,2021-01-02T00:00:00.000000
001491,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
001308,ASTRAZENECA,2021-01-21T00:00:00.000000
056390,BNT162B2 PFIZER,2021-01-12T00:00:00.000000
000006,ASTRAZENECA,2021-01-12T00:00:00.000000
001675,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000810,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000320,CORONAVAC SINOVAC,2021-01-08T00:00:00.000000
002057,CANSINO,2021-01-21T00:00:00.000000
000734,BNT162B2 PFIZER,2021-01-10T00:00:00.000000
001332,BNT162B2 PFIZER,2021-01-10T00:00:00.000000
000801,ASTRAZENECA,2021-01-18T00:00:00.000000
001163,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
000538,CORONAVAC SINOVAC,2021-01-13T00:00:00.000000
001762,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001945,BNT162B2 PFIZER,2021-01-11T00:00:00.000000
002096,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
002105,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
001735,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000403,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
000888,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
048775,BNT162B2 PFIZER,2021-01-05T00:00:00.000000
001251,ASTRAZENECA,2021-01-28T00:00:00.000000
001634,BNT162B2 PFIZER,2021-01-05T00:00:00.000000
002066,ASTRAZENECA,2021-01-29T00:00:00.000000
001729,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001573,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
000615,CORONAVAC SINOVAC,2021-01-15T00:00:00.000000
